hostname,score,sources,label,level,http_status,mx
seg-social.es,6,wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,Office of the Comptroller General of the Social Security | Social Security in Spain | Secretariat of State for Social Security | Q59496570 | Instituto Nacional de la Seguridad Social,central,ConnectException,10 mx1.seg-social.es.; 20 mx2.seg-social.es.
territori.gencat.cat,6,wikidata;wikidata;wikidata;wikidata,Ministry of Territory | Q107059396,central-1,301,none
tribunalconstitucional.es,6,wikidata,Constitutional Court of Spain,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 tribunalconstitucional-es.mail.protection.outlook.com.
web.araba.eus,6,wikidata;wikidata,Q124651607 | Q110754554,,302,none
web.gencat.cat,6,wikidata;wikidata,Generalitat of Catalonia,central-1,301,none
www3.gobiernodecanarias.org,6,wikidata;wikidata,Q130343476 | Servicio Canario de la Salud,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
xunta.gal,6,wikidata;wikidata,Xunta de Galicia,central-1,301,10 mail.xunta.es.
accioncultural.es,4,wikidata,AC/E,,301,10 accioncultural-es.mail.protection.outlook.com.
acsucyl.es,4,wikidata,Quality Assurance Agency for the University System in Castilla y León,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 acsucyl-es.mail.protection.outlook.com.
ader.es,4,wikidata,Economic Development Agency for La Rioja,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,20 mx2.riojasalud.es.
adif.es,4,wikidata,Administrador de Infraestructuras Ferroviarias,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching adif.es found.,20 mx2.hc1197-70.eu.iphmx.com.; 10 mx1.hc1197-70.eu.iphmx.com.
aecid.es,4,wikidata,Spanish Agency for International Development Cooperation,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching aecid.es found.,10 mail2.correo.gob.es.; 10 mail1.correo.gob.es.
aena.es,4,wikidata,Aena,,HttpConnectTimeoutException: HTTP connect timed out,10 correosmtp.aena.es.
aeval.es,4,wikidata,Agencia de Evaluación y Calidad,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mail2.correo.gob.es.; 10 mail1.correo.gob.es.
agenciaidea.es,4,wikidata,Agencia de Innovación y Desarrollo de Andalucía IDEA,,ConnectException,10 agenciaidea-es.mail.protection.outlook.com.
