hostname,http_status,mx
regione.calabria.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,20 mta2.regione.calabria.it.; 10 mta1.regione.calabria.it.
regione.campania.it,HttpConnectTimeoutException: HTTP connect timed out,0 regione-campania-it.mail.protection.outlook.com.
regione.emilia-romagna.it,302,10 regione-emiliaromagna-it03e.mail.protection.outlook.com.
regione.fvg.it,ConnectException,none
regione.lazio.it,200,0 regione-lazio-it.mail.protection.outlook.com.
regione.liguria.it,HttpConnectTimeoutException: HTTP connect timed out,5 esva02.regione.liguria.it.; 5 esva01.regione.liguria.it.
regione.lombardia.it,HttpConnectTimeoutException: HTTP connect timed out,5 regione-lombardia-it.mail.protection.outlook.com.
regione.marche.it,HttpConnectTimeoutException: HTTP connect timed out,none
regione.molise.it,302,none
regione.piemonte.it,ConnectException,10 zmbmtain.csi.it.
regione.puglia.it,HttpConnectTimeoutException: HTTP connect timed out,none
regione.sardegna.it,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching regione.sardegna.it found.,none
regione.sicilia.it,200,10 esg.fast360rm.it.
regione.taa.it,301,none
regione.toscana.it,HttpConnectTimeoutException: HTTP connect timed out,5 mta.regione.toscana.it.
regione.umbria.it,301,none
regione.vda.it,503,10 smtp1.invallee.it.; 10 smtp2.invallee.it.
regione.veneto.it,HttpConnectTimeoutException: HTTP connect timed out,5 alt2.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 1 aspmx.l.google.com.
rim.veleposlanistvo.si,SSLHandshakeException: Remote host terminated the handshake,none
riminiturismo.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 riminiturismo-it.mail.protection.outlook.com.
risorgimento.it,HttpConnectTimeoutException: HTTP connect timed out,none
roc-taiwan.org,302,none
rom-io.diplo.de,200,none
roma.mae.ro,ConnectException,none
roma.mfa.gov.ct.tr,HttpConnectTimeoutException: HTTP connect timed out,none
roma.mfa.gov.hu,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
roma.mid.ru,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
romagnafaentina.it,HttpConnectTimeoutException: HTTP connect timed out,10 mail.comune.faenza.ra.it.
romamobilita.it,200,1 aspmx.l.google.com.; 10 mail.romamobilita.it.; 10 alt4.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.
rome.europarl.europa.eu,302,none
rome.mae.lu,302,none
rome.mfa.ee,200,none
rome.mofa.go.ug,200,none
sabes.it,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,none
sabmar.beniculturali.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
sacri-monti.com,200,none
saluggia.enea.it,301,none
salute.regione.emilia-romagna.it,HttpConnectTimeoutException: HTTP connect timed out,none
santateresa.enea.it,HttpConnectTimeoutException: HTTP connect timed out,none
sardegnaricerche.it,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching sardegnaricerche.it found.,none
sbhu.it,HttpConnectTimeoutException: HTTP connect timed out,none
sbn.it,HttpConnectTimeoutException: HTTP connect timed out,10 mail.sbn.it.
scolopi.it,HttpConnectTimeoutException: HTTP connect timed out,none
senato.it,301,10 mx2.hc2468-63.eu.iphmx.com.; 10 mx1.hc2468-63.eu.iphmx.com.
sigfridobartolini.it,HttpConnectTimeoutException: HTTP connect timed out,none
sistan.it,HttpConnectTimeoutException: HTTP connect timed out,none
soprintendenzaspecialeroma.it,HttpConnectTimeoutException: HTTP connect timed out,none
sovraintendenzaroma.it,HttpConnectTimeoutException: HTTP connect timed out,none
sportesalute.eu,301,none
srilankaembassyrome.org,403,0 _dc-mx.d341733de63e.srilankaembassyrome.org.
startplus.it,HttpConnectTimeoutException: HTTP connect timed out,none
statistica.regione.veneto.it,HttpConnectTimeoutException: HTTP connect timed out,none
storiaantica.eu,HttpConnectTimeoutException: HTTP connect timed out,10 mail.register.it.
stpbrindisi.it,HttpConnectTimeoutException: HTTP connect timed out,none
stplecce.it,HttpConnectTimeoutException: HTTP connect timed out,10 mx.stplecce.it.
studigermanici.it,301,5 alt2.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.
sudanembassy.it,301,none
swedenabroad.com,301,none
synergie-italia.it,HttpConnectTimeoutException: HTTP connect timed out,none
szn.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 szn-it.mail.protection.outlook.com.
thaiembassy.it,HttpConnectTimeoutException: HTTP connect timed out,none
trasfer.eu,301,none
trisaia.enea.it,HttpConnectTimeoutException: HTTP connect timed out,none
turismo.comune.modena.it,HttpConnectTimeoutException: HTTP connect timed out,none
turismoroseto.it,HttpConnectTimeoutException: HTTP connect timed out,10 mx.turismoroseto.it.
uan.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 server.uan.it.
uif.bancaditalia.it,200,none
uits.it,301,none
unesco.it,HttpConnectTimeoutException: HTTP connect timed out,none
unesco.org,302,none
uni.com,301,none
upbilancio.it,HttpConnectTimeoutException: HTTP connect timed out,10 mx2.hc2468-63.eu.iphmx.com.; 10 mx1.hc2468-63.eu.iphmx.com.
uslnordovest.toscana.it,HttpConnectTimeoutException: HTTP connect timed out,none
uslsudest.toscana.it,HttpConnectTimeoutException: HTTP connect timed out,none
uzembassy.it,200,none
