hostname,country,label,website
bjut.edu.cn,CHN_china,Beijing University of Technology,https://www.bjut.edu.cn/
blcu.edu.cn,CHN_china,Beijing Language and Culture University,http://www.blcu.edu.cn
bnu.edu.cn,CHN_china,Beijing Normal University,http://www.bnu.edu.cn/
ccnu.edu.cn,CHN_china,Central China Normal University,https://www.ccnu.edu.cn/
cdsndu.org,CHN_china,PLA National Defence University,http://www.cdsndu.org
cityu.edu.hk,CHN_china,City University of Hong Kong,https://cityu.edu.hk
cqnu.edu.cn,CHN_china,Chongqing Normal University,https://www.cqnu.edu.cn
cuhk.edu.hk,CHN_china,The Chinese University of Hong Kong,https://cuhk.edu.hk
dhu.edu.cn,CHN_china,Donghua University,http://www.dhu.edu.cn/
ecnu.edu.cn,CHN_china,East China Normal University,http://www.ecnu.edu.cn
en.whu.edu.cn,CHN_china,Wuhan University,https://en.whu.edu.cn/
en.zwu.edu.cn,CHN_china,Zhejiang Wanli University,http://en.zwu.edu.cn/
